text,positive,lemm_text
"@first_timee хоть я и школота, но поверь, у нас то же самое :D общество профилирующий предмет типа)",1,хоть я и школотый но поверь у мы то же самый общество профилировать предмет тип 
"Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D",1,да весь таки он немного похожий на он но мой мальчик весь равно хороший 
RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!,1,ну ты идиотка я испугаться за ты 
"RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD http://t.co/GqG6iuE2…",1,кто то в угол сидеть и погибать от голод а мы ещё порция взять хотя уже и так жрать не хотеть 
"@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D",1,вот что значит страшилка но блин посмотреть весь часть у ты создаться ощущение что автор курить что то 
ну любишь или нет? — Я не знаю кто ты бля:D http://t.co/brf9eNg1U6,1,ну любить или нет я не знать кто ты бля 
"RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3",1,ох ну это конечно же чтобы у нея быть много друг ведь она такой мимими 
RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D,1,у ты есть ухажёр нет мой ухо не кто не жрать 
Поприветствуем моего нового читателя @Alexey1789 ;),1,поприветствовать мой новое читатель 
Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi,1,теперь у я есть частичка сидней 
"Люблю маму и папу!!!!а в остальное я так...-влюбляюсь, привязываюсь))) ",1,любить мама и папа а в остальной я так влюбляться привязываться 
"RT @dicyziqecida: Как-то я забыла, что вчера приехал из деревни наш котэня и испугалась, когда он утром пришел ко мне общаться. :) Доброе у",1,как то я забыть что вчера приехать из деревня наш котэнить и испугаться когда он утром прийти к я общаться добрый у 
"@MrsRourke_s_tit @_vivante @dyu_bryun так было задумано, да :)",1,так быть задумать да 
"@Kruglova_Julia_  дааааа))
Ты... Ты... Ты и только ты...)*",1,дааааа ты ты ты и только ты 
"@Alex_Shvarz :)) О, нет. Вы ведь всё равно обзоры урезаете? Просто одна версия сильно порезанная, а другая полная, только без мусора.",1,о нет вы ведь весь равно обзор урезать просто один версия сильно порезать а другой полный только без мусор 
"@Jyliaalex смотри там случайно в аспирантуру не попади, наука никого до добра не доводила)",1,смотреть там случайно в аспирантура не попасть наука никто до добро не доводить 
"RT @Abdullin_A_R: @LikhodedovaMary эхх, а в УГАТУ о контрольных предупреждают уже на контрольной)",1,эхх а в угата о контрольный предупреждать уже на контрольный 
"@marinaysol а, а то подумала, что у тебя там пробежечка.)",1,а а то подумать что у ты там пробежечка 
@xLesherx @4EU3 зря вы с этой хуйней шутите)) я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них,1,зря вы с этот хуйный шутить я много история наблюдать в режим рил время по работа с русский который разбиваться на они 
@Moscow_advokat Очень главное спасибо for   МЕДВЕД™ — он работал клоуном-аниматором!   :-))),1,очень главный спасибо медведа он работать клоун аниматор 
"У нас есть прекрасная история, как сдохнуть за неделю!!)",1,у мы есть прекрасный история как сдохнуть за неделя 
"@Benjamin1610 сегодня столько поводов выпить, что я уже не могу усидеть на месте)",1,сегодня столько повод выпить что я уже не мочь усидеть на место 
